match_id,inning,batting_team,bowling_team,over,ball,batter,bowler,non_striker,batsman_runs,extra_runs,total_runs,extras_type,is_wicket,player_dismissed,dismissal_kind,fielder
734027,2,Royal Challengers Bangalore,Kolkata Knight Riders,6,5,V Kohli,R Vinay Kumar,YV Takawale,1,0,1,,0,,,
1359479,2,Royal Challengers Bangalore,Mumbai Indians,0,3,F du Plessis,JP Behrendorff,V Kohli,1,0,1,,0,,,
1082629,2,Rising Pune Supergiant,Gujarat Lions,12,1,MS Dhoni,Ankit Soni,BA Stokes,2,0,2,,0,,,
1216496,2,Chennai Super Kings,Rajasthan Royals,3,2,SR Watson,JC Archer,M Vijay,0,0,0,,0,,,
1422126,1,Sunrisers Hyderabad,Mumbai Indians,13,2,AK Markram,HH Pandya,H Klaasen,1,0,1,,0,,,
501218,1,Pune Warriors,Mumbai Indians,16,4,SB Wagh,SL Malinga,R Sharma,0,0,0,,1,SB Wagh,caught,A Symonds
548309,1,Rajasthan Royals,Kings XI Punjab,15,6,AM Rahane,Harmeet Singh,BJ Hodge,1,0,1,,0,,,
1216534,1,Royal Challengers Bangalore,Sunrisers Hyderabad,4,2,AJ Finch,MR Marsh,D Padikkal,1,0,1,,0,,,
1216517,2,Kings XI Punjab,Mumbai Indians,19,5,DJ Hooda,TA Boult,CJ Jordan,1,0,1,,0,,,
392220,1,Deccan Chargers,Rajasthan Royals,0,7,AC Gilchrist,M Morkel,TL Suman,6,0,6,,0,,,
980979,2,Rising Pune Supergiants,Sunrisers Hyderabad,0,2,AM Rahane,B Kumar,UT Khawaja,0,0,0,,0,,,
1304106,1,Punjab Kings,Royal Challengers Bangalore,16,5,Harpreet Brar,PWH de Silva,LS Livingstone,0,0,0,,0,,,
598055,2,Mumbai Indians,Pune Warriors,2,5,SR Tendulkar,AB Dinda,KD Karthik,0,0,0,,0,,,
729279,2,Mumbai Indians,Kolkata Knight Riders,6,2,AP Tare,JH Kallis,AT Rayudu,1,0,1,,0,,,
1136617,2,Chennai Super Kings,Sunrisers Hyderabad,12,4,DL Chahar,Sandeep Sharma,F du Plessis,1,0,1,,0,,,
